COP_s,dCOP_s,ddCOP_s,com_x_s,com_z_s,dcom_x_s,ddcom_x_s,dddcom_x_s
0.0009339696819336132,0.0011812173795143531,0.001991057091902903,0.0002251536798757537,0.9987654033873883,1.8217504179187154e-05,2.516503831527805e-05,4.377883326757038e-05
0.0009163448318721666,0.0011424739115025418,0.0019313882650039214,0.00023210924825794318,0.9987653940757157,1.8446248083385726e-05,2.4981546882525004e-05,4.314253103552854e-05
0.0008895095192714216,0.0011336075339126428,0.0019290960727956575,0.00021651290644005054,0.9987654025463645,1.7987413913821518e-05,2.4981955348643714e-05,4.3612989160600754e-05
0.0009113780912614545,0.0011456835476520155,0.0019164118726504818,0.0002244390697494523,0.998765389523816,1.8692210097315647e-05,2.561312861252696e-05,4.447252023557163e-05
0.0009112305529300355,0.001132295425970254,0.001918305558740805,0.0002580664539116184,0.9987653949389811,1.8996542403508293e-05,2.5983452935474837e-05,4.5065811874006605e-05
0.0008883854275557992,0.001128786220230007,0.0019038480461036511,0.00022112139217127355,0.9987653997014146,1.8715206439695745e-05,2.57545651491889e-05,4.468522034871108e-05
0.0008913739999894829,0.0011447580595963652,0.0019192360249859644,0.00021842400174836208,0.9987653990592534,1.8449654139948533e-05,2.5510100036732504e-05,4.43401762791865e-05
0.0009081333589964963,0.0011751636937989076,0.001988419776692552,0.00022166845154506496,0.9987653890186794,1.8665670141942066e-05,2.527535105959386e-05,4.366379526712677e-05
0.0009052914594741603,0.0011413391880556105,0.0019279085520187724,0.00024611790001058365,0.998765388353459,1.861888690235107e-05,2.5394339219121123e-05,4.405688843382645e-05
0.000907997787604677,0.0011297370732549082,0.0018993759785637702,0.0002470790789889607,0.9987653896617367,1.849991083471009e-05,2.508544760399399e-05,4.3453724603106e-05
0.0009089115235889572,0.0011577291596292646,0.0019591888516277637,0.00024372949610527105,0.9987653819466282,1.8447329992930715e-05,2.4996962332700905e-05,4.325521354913726e-05
0.0009133503892675227,0.0011743226939486034,0.001992644694038296,0.0002052867187417619,0.9987653968943013,1.811910449341572e-05,2.4635341589531814e-05,4.238472482400978e-05
