q1_s_est,q2_s_est,dq1_s_est,dq2_s_est,q1_s_true,q2_s_true,dq1_s_true,dq2_s_true,u1_s,u2_s,q1_l_est,q2_l_est,dq1_l_est,dq2_l_est,q1_l_true,q2_l_true,dq1_l_true,dq2_l_true,u1_l,u2_l
0.0795976592713143,-7.13465252874278e-05,0.0009318652477743,0.0093525120739071,0.0873,0.0,0.0,0.0,0.0,0.0,0.194489248262933,-0.0032920394187972,-0.0044304903397336,-0.0058050950266076,0.2,0.0,0.0,0.0,0.0,0.0
0.0924605370285856,-0.0029869613775886,0.0143882927892256,-0.0001220028927746,0.0864873029292334,-0.0004384199346969,-0.0056661818645813,0.0018083370915178,6.35095127046248,-0.738948071208355,0.196190115898887,-0.0024790910357595,0.0046806143974827,0.0084866313914501,0.20024222219367,0.0001002832728384,-0.012558716510786,-0.007514571210346,19.9999999978262,-4.37321728915251
0.0932848420696032,1.62217915610865e-05,0.0130201689252254,-0.0061417464436696,0.0860147131657356,-0.0005045611702526,-0.0133050642484755,0.0102326053040728,7.13138757074348,1.66682262119716,0.197768069816433,-0.0059765219747111,-0.0166725784199334,0.0046537460867179,0.200530341102642,0.0018667082013632,-0.0228504916653353,-0.0159898556067595,20.0,-5.04178454686773
0.0926293333515873,-0.0023474573263608,-0.0011161088772252,0.0073487322605935,0.0851922354653276,4.85784673125018e-05,-0.0186350943693277,0.0030397945743554,10.9950191323414,-3.2289312839432,0.193460694295328,-0.0045250027214029,-0.0284992018494787,-0.0122641087055643,0.200361899942532,0.000597403358446,-0.0387251406551559,-0.0115704431938371,19.9999999999998,0.0980356022363793
0.0884694392336569,-0.0026693439258953,-0.0077085521976224,-0.0014627774724522,0.0840169104344912,-0.0014368823479929,-0.0259200036167137,0.0018510457711299,12.8902538104661,-0.118973153097855,0.195628560504863,-0.0026782241512335,-0.0393364592096688,-0.0076980303423099,0.200163865401791,-0.0006755443378246,-0.0531767560138525,-0.0130161920010303,19.9999999999975,-2.1859253033254
0.090154106453737,-0.0023155134329501,-0.0166307853032335,-0.0028831775625752,0.0853410292761111,-0.0016677853118062,-0.0292307802898956,0.0010243429396539,15.9506568742478,0.446975760972045,0.197176183095292,-0.0015381155273705,-0.0517011487836346,-0.0095714876630094,0.200818032650874,-0.0022108668590432,-0.0632167623737671,-0.014175312374211,20.0,-2.43313049747882
0.0888504193492586,-0.0009807683307856,-0.0210560013235167,-0.0037422332426754,0.0863446722587015,0.0001237531390939,-0.033997956586789,7.38086534038341e-05,17.2392352887865,0.903833275604207,0.196798711937844,-0.0035106251254499,-0.0699673499630356,-0.0084621612084839,0.200642704970569,-0.0020216234119164,-0.0734301075678952,-0.0187565704325346,19.9999999999989,-4.35294130680926
0.0889958513881772,-0.0005742564668955,-0.026064427990109,-0.0042591120300247,0.0867198059716194,0.0011730885384915,-0.0382587395610383,-0.00130601916371,18.8563746126017,1.14681472143952,0.199438825461796,-0.0030057052301302,-0.0795044928428849,-0.0119520265287199,0.200853992146759,-0.0024972822341747,-0.0855878555587724,-0.0237707162491126,19.9999999999989,-3.92706157995192
0.0871552963084113,-0.0014914628855973,-0.0337781851458676,-0.0063166927566108,0.0861821192006742,-0.0004548854666471,-0.0403960499203228,-0.0020558199438122,19.9999999999991,1.56922944567879,0.197576863776286,-0.0039520020595203,-0.0911145233597006,-0.0168615266892498,0.1983418828098,-0.0025670845627044,-0.0982438159467125,-0.02599116707165,19.9999999999999,-3.15356646687914
0.0838764651977958,-0.0019437008660167,-0.0379905892724215,-0.0092683258746157,0.0853182641593446,0.0006155564372876,-0.0454461712275413,-0.00134834461334,19.9999999999265,2.33272878093827,0.197693114285284,-0.0054084082937295,-0.105498554283755,-0.0179542883306145,0.195791040010953,-0.0028822754221188,-0.109988217839605,-0.0311935161572557,19.9999999999999,-4.00022004801691
