q1_s_est,q2_s_est,dq1_s_est,dq2_s_est,q1_s_true,q2_s_true,dq1_s_true,dq2_s_true,u1_s,u2_s
0.0910065604457488,-0.0053068947954747,-0.010103379654113,-0.0061280478003552,0.0873,0.0,0.0,0.0,0.0,0.0
0.101863186929822,0.0011010058524467,-0.0054546806150321,0.0166077487920895,0.0876742168615803,-0.0001248405712946,-0.0025463762891605,-0.0144600866550691,13.158097400207,-6.16725589764214
0.0899432643692677,-0.0001790163869356,-0.0097807049068157,-0.0067471003125556,0.0867710071022009,0.0016338901422722,-0.0073818288434062,-0.011096492565636,13.935525593596,1.97964861942668
0.0885761127096491,0.003244436725792,-0.0119852554758673,-0.004501820340157,0.086641450724839,0.0005877202871997,-0.012623148663355,-0.0073214834008174,14.4363209111883,1.53961494182287
0.0855687650900129,0.0016573436498215,-0.0167396753655699,-0.0072293074860469,0.0863245911306652,0.0011925617195297,-0.0190379025966437,-0.0053304473286536,15.6553263334078,2.37867757200791
0.0866779999417501,0.0015904249473859,-0.0209136027183217,-0.0032465052740745,0.0855147829026202,0.0007529373963017,-0.0249383588594534,-0.0067218593006319,16.9572669429518,0.988329003423615
0.0849677177158743,0.0011651196979641,-0.0266080782769017,-0.0046516138312179,0.0834706651534764,0.003367985743473,-0.030096745519192,-0.00800512907345,18.5929939046337,1.47408235740185
0.0838784016416861,0.0041858880431667,-0.0323399350662505,-0.010323505473662,0.0831274715707436,0.0025317724754633,-0.0346877171800357,-0.0059998805123292,19.9999997033038,3.67478299084906
0.0843237974190645,0.0058369783913151,-0.036870426993187,-0.0098383888507466,0.0831158943328175,0.0015848159268497,-0.0395288861501731,-0.0040974242828917,19.9999999999407,3.32380188799699
0.0821345249916215,0.0057936420386122,-0.0422847818602558,-0.008675653870841,0.0832156372172937,7.7447730662349e-05,-0.0435381205685382,-0.0032036638698642,19.9999999999899,2.59370991283264
0.082880037472229,0.0067575569009604,-0.0467848045436191,-0.011756082855657,0.0841811858928772,0.0003269929447249,-0.0483918064296334,0.0004702213236643,19.9999999999999,3.36741824774447
0.0807216053317717,0.0057764629874439,-0.0498736809798329,-0.0111376204653143,0.0845917063419957,-0.0001883563757856,-0.0529065159105657,0.0020822601037012,20.0,2.90736655116359
0.0816261427364886,0.0043194526461292,-0.0554704331701018,-0.0083123372319245,0.0823732575615824,0.0009758402681729,-0.056650962576791,-0.0009112497015723,19.9999999999998,1.35278310425871
0.081996033250451,0.0031436974972634,-0.0610440141351262,-0.007712908611405,0.0824714829667929,0.0023282483956519,-0.060467699816895,-0.0055733544179912,19.9999999999999,0.603714604095167
0.0797646968353378,0.0007407239737603,-0.0616963896709925,-0.0093971745237656,0.0827209278892017,0.0013874245349635,-0.0648243610282071,-0.0112865185333709,19.9999999999997,0.98168996513791
0.0759881352626208,-0.0006116129246037,-0.0623176217815578,-0.0103734829188522,0.0818656797737847,0.0007835886794759,-0.0687083095440161,-0.0131423109862895,19.9999999999999,1.27334613841696
0.075616520267281,-0.0003322932442669,-0.0664677220271466,-0.0113640552944536,0.0826774873661879,0.0013907335642027,-0.0723457325879433,-0.0172046598593531,19.9999999999998,1.33625203289308
0.0743712155036917,-0.0011275747240769,-0.0679481933148153,-0.013765579494995,0.082175005576157,0.0008944194412063,-0.0763856011670428,-0.0182017730211388,20.0,2.01170662497275
0.0742072989664012,-0.0022714198103051,-0.0726553262773787,-0.0142537505018571,0.0827476709574083,0.0014328919128513,-0.0795702907756933,-0.0209479413930248,20.0,1.72031187871004
0.0751471206414421,-0.0007595522058804,-0.0765457814329657,-0.017429784525428,0.0828858684833575,0.0012614544478476,-0.0834784369525115,-0.0194490950492217,20.0,2.61722209425022
0.0744265626916785,-0.0013343780308442,-0.0824516077463479,-0.0173623602684713,0.0826081890758799,0.0004139779506119,-0.0869176884453441,-0.0214632821488951,19.9999999999989,2.11895778610966
0.0746550788764429,-0.000337384874723,-0.0879972891149982,-0.0202803122815214,0.0815692082456982,-0.0013292917687,-0.0916446964770613,-0.020074758556045,19.9999999999964,2.77954359455321
0.0734128384640986,-0.0016594490658108,-0.0921397787164738,-0.0171778842902581,0.0776792899459551,-0.0020638155238986,-0.0947680692698212,-0.0210632067004363,19.9999999999983,1.32860456078799
0.0715411777897909,-0.0014323028997011,-0.0924058347020205,-0.0216173339850207,0.0772316921219717,-0.0012742313543465,-0.0983921291298023,-0.0201790703937953,19.9999999999983,2.90839562403526
0.0726740048317706,-0.0009199782757703,-0.099038231616645,-0.0213920888179447,0.0775586555838895,-0.0011271009592293,-0.102532480584308,-0.0191198211000256,20.0,2.33845000374665
0.0721060509204439,-0.0021843448531526,-0.102757017384185,-0.0177459505187328,0.0765803666836625,-0.0002279782875809,-0.103729213971147,-0.0219877565131343,19.9999999999996,0.715940950197719
0.0719217520264523,-0.0013365179400964,-0.103881440375112,-0.0233528098434039,0.0757036312621274,0.0005541827172754,-0.109218340855148,-0.0196222563688494,20.0,2.6276440506121
0.070596846674742,-0.0005556221156509,-0.107093935346041,-0.0248380984487297,0.0742240592398058,0.0006063236264934,-0.113613912602721,-0.0188387389565161,20.0,3.0109298390613
0.0713257833890653,-0.0007500408835227,-0.112099777610173,-0.0237572436804189,0.0737693157487645,0.0012150655565469,-0.117609171235574,-0.0192548644925382,19.9999999999999,2.22026357089186
0.0712315894028899,-0.0002153878205731,-0.11530693841237,-0.0260416138440955,0.073773191665896,0.0008887796734936,-0.121864809951024,-0.0193942089202089,20.0,2.80985068610659
0.0693971117046933,-0.0023670475214997,-0.118713052474419,-0.022072081729927,0.0734168846260316,0.0001870988907035,-0.125261982424896,-0.0226762226068704,20.0,1.06181137832891
