dq1,dq2,ddq1,ddq2
0.0,0.0,0.35993475423806587,-3.4393294829881245
-0.0059356578948485,-0.0120037339887443,-28.737580749127968,68.72776072309563
-0.0200859755594468,-0.0091550509093686,-57.76549195601834,126.80778795966611
-0.0311139522492557,-0.01395504419442,-45.7887291255746,102.85870889631029
-0.0427176079554546,-0.0173761339439734,-46.59620921068566,104.4678659358634
-0.0545578993097442,-0.0190369853404504,-49.10061087315616,109.49607055948948
-0.064635499317434,-0.0220274833726375,-46.980789023523776,105.27816307990527
-0.0774161252295852,-0.0262298076069732,-46.03251030291189,103.39909758310104
-0.0882863952129846,-0.0304911283988691,-45.111156495590684,101.55784472409938
-0.0989779462337907,-0.0350764002831114,-44.65909699361016,100.66876478485932
-0.10829386146264,-0.038895848475005,-44.39705098059567,100.15237281560924
-0.1216625076,-0.0434045082401899,-47.50598698061781,106.41171601155366
-0.132333527878884,-0.0457381568210036,-41.90580696059335,95.22858097865202
-0.142083041011868,-0.0504713552176816,-40.93378052764922,93.31649514851136
-0.152547380381055,-0.0550346440521916,-40.082330208191706,91.64411579799948
-0.159652976444974,-0.0604155003449686,-38.50744001282969,88.49953536722839
-0.167111507980828,-0.0678000676120149,-38.56377885369412,88.66005696495957
-0.17494214070912,-0.0736001779996816,-35.980158170055965,83.50831400854186
-0.183530675469419,-0.0784670312827668,-38.23356070802159,88.03192891987543
-0.191809968273911,-0.0832388696003729,-38.28176914075089,88.14882222446695
-0.201951011737543,-0.0891589332391142,-40.41566836298629,92.44811792977754
-0.212673510546545,-0.0918191424032169,-43.8231664188055,99.30333216356289
-0.222835366658313,-0.0945673963977531,-42.57653355844212,96.81751278101233
-0.232056391869855,-0.0960370724849286,-42.623122092663415,96.97606952944216
-0.242574788588848,-0.0999008012978204,-40.546377959420965,92.87549696752882
-0.252444763903994,-0.102325383354608,-39.95053433974527,91.73475582210133
-0.260826485458305,-0.104049659739338,-39.243584428545965,90.37138280263015
-0.266751356727355,-0.108177837078475,-34.33005158238409,80.57505092289563
-0.275204300516288,-0.114142223440129,-34.36158506694456,80.67622339677196
-0.284795787015863,-0.115578740891401,-39.25276547956227,90.51871271230478
-0.291232314222154,-0.120537290492387,-32.26134691451382,76.58410543606833
-0.297473670246649,-0.122041128665462,-34.632874135520304,81.37267929805962
-0.303254080822941,-0.125966143378591,-35.19639597718389,82.52648869167469
-0.309186107454902,-0.130800797411662,-31.287381609280295,74.7563083315043
-0.314835234699611,-0.13508538363043,-33.54272987081596,79.32757525870302
-0.320971040628905,-0.136672844634843,-33.36212906408213,78.96770580478025
-0.326429414759287,-0.139168422926094,-36.78499432638458,85.8588708837049
-0.332841299677724,-0.141453182187463,-33.71828523630733,79.8042064292291
-0.339549206000481,-0.143467780832633,-33.63620672995515,79.6855701709718
-0.34501658047191,-0.147171379785152,-31.03404582102191,74.5482016211364
-0.350491646597838,-0.148537701064945,-29.278679425856737,71.10616898042302
-0.354898957496727,-0.149992785333696,-28.29172256150367,69.21871328115172
-0.357480419261657,-0.153789562660864,-27.641656024304893,67.9667298041913
-0.361304573602063,-0.153228946062132,-26.003423458207962,64.71537924311755
-0.366025231840173,-0.157539333013126,-24.6764984357054,62.11429221652079
-0.371098874729348,-0.157457598204269,-27.394071151522407,67.61595210586253
-0.375548378708154,-0.158810498387031,-26.7755449286413,66.44568272282642
-0.378965748271735,-0.161132464333965,-24.024012358401137,61.006901098628425
-0.381370040796941,-0.162161012787251,-24.99853182915423,62.984155929627995
-0.386401933226684,-0.161395452475534,-25.75659717844628,64.5738273266981
-0.389364775794637,-0.162299810544502,-25.10498707159083,63.315180617822755
-0.392471263384364,-0.161270457742588,-24.81062924936677,62.78848865182114
-0.394524118208225,-0.16197745355697,-21.969204775206336,57.15433302027838
-0.396557934659581,-0.162489934369784,-19.92556554075679,53.14661880947869
-0.397763874288023,-0.161322985889667,-18.86110253337319,51.09075265215013
-0.396163805273366,-0.163221769086691,-17.039297688329043,47.496296981742596
-0.396345446625989,-0.164157831794533,-18.44945792878499,50.38638167936538
-0.396778211593766,-0.165343059795769,-13.790224428467488,41.124302480143996
-0.397437541214617,-0.168323666631535,-14.85950281937541,43.340891857461216
-0.394946177228975,-0.170128496056583,-14.292636551038353,42.26822748624654
-0.395593276980298,-0.169930481208699,-15.929359621113926,45.596915249075224
-0.394524357887782,-0.170328291558082,-16.591606785218914,46.98102018762956
-0.393205967968264,-0.169680571642334,-11.648305388813892,37.139255239476256
-0.391949801277139,-0.171067164918104,-10.237429288622069,34.36293681416814
-0.388097250288112,-0.172178544090881,-10.297543908913017,34.54464341815124
-0.388307792213835,-0.171588716014883,-14.699397950566503,43.44607081847037
-0.386668950531602,-0.171052733193562,-12.854974924551122,39.81610583410365
-0.385715965129279,-0.169031311120306,-13.56300516110821,41.28333468135388
-0.384109590581099,-0.167041903230691,-16.108357935362026,46.41252253070291
-0.381059636351429,-0.165822090814182,-13.87643366607934,41.988776331984404
-0.377892180896854,-0.161999425739074,-11.301413006385063,36.90154253017027
-0.373625358292926,-0.161120156722912,-11.609592662436684,37.59918688903034
-0.369801782483651,-0.159515129925257,-12.30658518474571,39.035601918459015
-0.365002993524949,-0.158079106782874,-10.112642700285553,34.706889786156104
-0.361330083611707,-0.157195798088251,-9.29114898263605,33.13087835490125
-0.358192299335724,-0.154620544060733,-9.348289868238234,33.3075283454247
-0.354909891790819,-0.151096112579631,-7.189220487725248,29.04303919145899
-0.350680228163078,-0.148444092260108,-8.06306781135651,30.838598287259707
-0.346645190756449,-0.146915819007906,-8.057560011603082,30.84882585618527
-0.338865631316506,-0.146295895933695,-2.162402293379995,19.0990832529772
-0.332836740127348,-0.145369071252998,-3.008275061500004,20.853037594908773
-0.327545018545275,-0.140348141236484,-7.845063163348813,30.593747426896336
-0.319485917402765,-0.140197483401905,-1.9935435328611453,18.92888291990613
-0.313812253801826,-0.14053102097111,-2.5000087849678443,20.0021072800626
-0.308631756718108,-0.13638331690407,-5.318911634168362,25.675937481201657
-0.302031255883885,-0.131640140647989,-7.5850028479857246,30.26431074495289
-0.295865955082004,-0.130491691012901,-1.4344906114304783,17.967038584958505
-0.289112533267141,-0.129370684420611,-2.8061551273147773,20.749411731272417
-0.28245982825389,-0.128447448039807,-3.9602447269928263,23.11948711486144
-0.27457651185427,-0.12534137470303,-2.957759198780309,21.164725585233253
-0.268320326638364,-0.119498001421288,-2.113015785634498,19.493746743125726
-0.261007848153369,-0.115686998343606,-2.895977446347126,21.115662977214864
-0.254892266373888,-0.110059629072918,-3.153494288423043,21.679878911119005
-0.246856187965006,-0.105972078765154,-1.943225452163897,19.275443720659627
-0.238690160052598,-0.10291993736265,-0.24715051687471362,15.926562722426864
-0.22918188570573,-0.101326201462303,4.029491022712039,7.392718006574219
-0.221788932504733,-0.0965983940421026,3.7976452643705128,7.889462350330039
-0.211593173542311,-0.0945734724670858,3.8838147899196027,7.76290057851265
-0.204488804239594,-0.0890638085793248,0.5517090205430604,14.46466282179933
-0.196433969133585,-0.085812586280448,5.1567315915954435,5.272532348710258
-0.187824069287662,-0.0820102554151295,4.991301005771065,5.613273112401995
-0.178622251696058,-0.0786514660584642,3.829531844295216,7.958745717276884
-0.170043872433319,-0.074487284352042,4.515838624903517,6.6182673640591085
-0.15992236095476,-0.0703577703120184,3.5891187755893648,8.485327909929651
-0.151191525244848,-0.0669573741522893,5.406489161786502,4.850370846154534
-0.141823316369451,-0.0613244001426089,3.7986359668361023,8.121338637732483
-0.131734498715103,-0.0577879085428531,5.461904263478612,4.810620336095877
-0.122373510567095,-0.0520816463387322,4.171712837660335,7.4240047893555055
-0.112820348695109,-0.048604863854248,2.9597292627329472,9.872387412174175
-0.106049223604143,-0.0421379359088983,2.1817811258370408,11.453413611345209
-0.0997621481667983,-0.0367161445033481,5.103902167582664,4.679756917789069
