dq1,dq2,ddq1,ddq2
0.0,0.0,0.1579630134362429,-1.509403698686963
-0.008472478663875,-0.0002747611627115,-29.563523805159456,64.24259381418655
-0.016072429268362,-0.0009100252230227,-28.254673527948498,63.2924984532301
-0.0209017726300957,-0.0025261199052638,-22.923177191472224,53.828147433474754
-0.0236814952439022,-0.0027608591663141,-16.985221994794262,42.992189094378205
-0.0286810323394293,-0.0020680664397897,-23.68799373792471,58.09524974440921
-0.0315739867723427,-0.0048073617738335,-16.275955615605135,43.864743124816904
-0.0351655108153559,-0.0089988268142291,-13.735081144214933,39.9464380647306
-0.0393716151759333,-0.0110601520967762,-14.860114458274095,42.48024482312403
-0.0427183946343712,-0.0137649233901726,-16.760967889822567,46.280131090220394
-0.0465736349722547,-0.0167841428955244,-14.14384471753478,41.03171699335817
-0.0496098018759724,-0.021600677361361,-12.076351869942043,36.91380157421234
-0.0532090100004613,-0.0261172012204758,-14.56721909726697,41.89494379920179
-0.057171392025736,-0.028122960872495,-17.97641636805707,48.7163779758199
-0.0611200017763575,-0.0320359043667918,-16.361986653639594,45.46047747527424
-0.0646861041523813,-0.0335739783443956,-18.115683462102066,48.96150764944538
-0.0693066497214649,-0.0356504037387595,-16.43992581173523,45.60555154413844
-0.074751918847991,-0.0388361477541418,-19.25879641968007,51.2496610369329
-0.0797399783101388,-0.0406154692446029,-21.02776816250692,54.7958948343051
-0.0862598544264603,-0.0418320766071153,-19.202593230985258,51.13923370431782
-0.092829348522013,-0.0404118872339622,-26.19523859439628,65.15266479844985
-0.095399005692895,-0.0408881437465525,-19.537490550190505,51.841145291831396
-0.0992656124405736,-0.0420350564661911,-20.29502825332255,53.362712884593904
-0.103404443830396,-0.044116363903542,-17.209206533250967,47.19677514198814
-0.105984342093522,-0.0447127358265208,-20.9968518832451,54.773274469469136
-0.110596427889088,-0.045794812270733,-21.672085127367254,56.14763415701001
-0.112827145124672,-0.0483275969723228,-19.898644404476038,52.61609974876551
-0.11865159275361,-0.0492374395180685,-20.730680452814543,54.31325122092451
-0.122771934440868,-0.049159235134502,-20.27848416728535,53.431229062517886
-0.126522806118972,-0.0510444973406508,-16.19080291085199,45.255145895290106
-0.131509590490623,-0.0499133037873094,-19.691123303876488,52.24867163386642
-0.136400497282115,-0.0517610081208763,-17.44184350907269,47.75811783171211
-0.139316729247111,-0.0546275719949934,-15.928754599298456,44.734326841820426
-0.143178862638443,-0.0585263560385511,-14.295353259449083,41.489642931303514
-0.145496092068293,-0.0592125230639075,-16.00769736491244,44.95558341428636
-0.149690982893286,-0.0559064728320747,-21.754836536599925,56.452347994506844
-0.153762954028985,-0.0578186152659085,-13.010370351767731,38.98297847208489
-0.156862361041746,-0.0601814382592503,-12.61421030905158,38.228385652303096
-0.157023540423857,-0.0638331825823277,-11.52799447733275,36.074717207113295
-0.157155420013931,-0.067272544812327,-11.011554954823348,35.05517714994615
-0.159572699133325,-0.0684584748745868,-13.595814646232025,40.23208161999889
-0.161966416427192,-0.0709175231587772,-13.49250818480775,40.04050162601326
-0.164310501497181,-0.0730105029099615,-14.368457529335412,41.84225245657999
-0.166482006493034,-0.0740813492862886,-14.29620909333163,41.723454824969586
-0.16818721200195,-0.0782524505624139,-12.088329790831553,37.35524525502705
-0.170205234026502,-0.0773205393226757,-16.54055998553372,46.2842571788726
-0.173230820918049,-0.0746904673833845,-17.857287849728337,48.92223260664188
-0.176130791029158,-0.0746555138355538,-15.045021089962356,43.30437115799024
-0.177795534307167,-0.0742011167550473,-15.87557459994154,44.96017730239821
-0.180671043732953,-0.0753843227647371,-15.054995014972103,43.36297789763379
-0.182916587197598,-0.0762510340029453,-12.198977668706695,37.667506582137875
-0.183290007723256,-0.0764701525372542,-16.784747049580428,46.884251469473234
-0.185468194536882,-0.0761425189387945,-16.134438986694963,45.62423110958467
-0.187126889463224,-0.0763420633334626,-13.568370730055804,40.51640041078759
-0.187433543564023,-0.0769162051281244,-14.756446673234148,42.92148420730545
-0.18676890848164,-0.0782474264231312,-11.290858193338483,36.029024243958354
-0.184977766663605,-0.0787135238391323,-12.51902863052243,38.52687022467286
-0.185766135586386,-0.0795618084909372,-12.939136763575302,39.386224526598106
-0.185502820505722,-0.0790282889182831,-13.98669876320569,41.48146954754452
-0.187370536125401,-0.0771661561767393,-12.591079163485858,38.727597321042126
-0.185769247225382,-0.0778919242456732,-8.304193573562701,30.18119619814014
-0.186282731027617,-0.0782145126196697,-11.112546328002228,35.82868054307394
-0.186780039670456,-0.0792169064909777,-10.932941489198887,35.495513043098626
-0.186661742748313,-0.0805234307285782,-8.336614946204842,30.32044787815596
-0.185839813998812,-0.0817036918783359,-6.568406594801846,26.78948167413513
-0.187194872672521,-0.0831093428554658,-7.191041558077092,28.051979897516173
-0.187172817180089,-0.0823282945102704,-9.808897059975067,33.32543143140538
-0.185786486526722,-0.0830337628147405,-8.716309880064674,31.156674144672916
-0.185565346605021,-0.0817660431681378,-10.880391932376098,35.50179667191344
-0.184473556289762,-0.0821997744980777,-10.814046111483625,35.38978510572491
-0.183891212061771,-0.0808174695747613,-10.657771413472528,35.12118320331582
-0.18419739906655,-0.0787527766848998,-10.188924616207101,34.22172609362423
-0.18345688765652,-0.0787943153422436,-7.205000529836719,28.296219694107428
-0.183303854625328,-0.0759958515982989,-9.365701640370672,32.608707126096625
-0.181515764760393,-0.073982627949238,-13.263132282123628,40.44150353108343
-0.182731392601817,-0.0721761389721812,-11.463752274910181,36.86639848287447
-0.181724899676177,-0.0738036763732079,-6.798007366501585,27.547472581110245
-0.179549581225797,-0.073912475508873,-4.9753937834305315,23.913721819938093
-0.176932894013998,-0.0742678012307578,-3.814504562476881,21.629816888182138
-0.175202072237125,-0.0750216461814246,-1.8582151899996011,17.742650839075004
-0.174807348997343,-0.0744441627405834,-3.712460686849245,21.478675541554555
-0.173071357097833,-0.0733681526821672,-2.922769010570083,19.934632518474086
-0.171923056150447,-0.0708243334969724,-6.715468139489951,27.55521571952854
-0.169762431393602,-0.0698697937047044,-4.843454798095237,23.8298524066326
-0.167475683867701,-0.0670220023880044,-6.79323454007318,27.75443797732392
-0.164740340467288,-0.0670085289930141,-3.7092262281931605,21.603140743713286
-0.161536151700474,-0.0684452585822473,-3.013125135966457,20.230855599313067
-0.157312233410845,-0.0675011524101918,-2.87143296015339,19.991946578365187
-0.15253792643831,-0.0663260906434978,-1.0252015817338347,16.322675042865495
-0.149526572006848,-0.0654265499715322,-2.0753783123784006,18.432654194019168
-0.145658508633746,-0.0643541117414718,1.8249299726784103,10.657537467456637
-0.142796555920556,-0.0651122169509005,0.2520708977780831,13.821518688380866
-0.138220472084269,-0.0623512667926868,-2.598129044671008,19.562732648048744
-0.134430754960166,-0.0614128168117918,-4.037013286319398,22.453384557333177
-0.132374797817739,-0.0588091637469515,-4.340563227906574,23.077714179022347
-0.128903799910839,-0.0577400487060873,-2.054794880893062,18.5212822286319
-0.123664884791379,-0.0550801215955708,-2.7581800161025902,19.943020387363845
-0.119036671642694,-0.0510148874042669,-7.406692221030992,29.251449994835472
-0.114230660072872,-0.0476919804047668,-4.376404906697241,23.20174400976166
-0.111343810655747,-0.0449617980820356,-3.517930782057803,21.49223928794028
-0.108600712693757,-0.0437421872463779,-3.897363155015051,22.267388925646827
-0.104449459844848,-0.0433880821459791,-0.7077671277307213,15.906404356305442
-0.101906346861438,-0.0399267568880576,-5.355847425542432,25.24475843253975
-0.0993828191514486,-0.0357467431207961,-3.71659473625242,21.98236893256668
-0.0958704509343585,-0.0322142390002772,-2.8199970722823924,20.20287188052154
-0.0915946669324995,-0.0299300070673984,-2.7568838148722277,20.087249904236096
-0.0869524500529853,-0.0282803031814429,-2.500424522044845,19.599019002726056
-0.0818101640475534,-0.02535126230723,0.522918365459663,13.587733686728317
-0.0784324716618239,-0.0238014614872001,-1.6849265834348734,17.999294868346027
-0.0739168809365524,-0.023654407084356,1.5509809501937901,10.919202300204446
-0.0686529783979645,-0.0230516383251783,1.1718503165734981,10.63566068241209
-0.0644575584279614,-0.0223549606613699,3.623945795642961,4.159897060995165
-0.0600030306583562,-0.0239191729159654,5.051494601204295,0.028328696452748277
-0.054118737817086,-0.0214974593929367,-0.012251654865770843,9.488243363614849
-0.0502804218230379,-0.0196962923428742,-1.7391410088976014,12.047743870811464
-0.0479165413211338,-0.0176083869915238,-2.558900061572279,13.310758686094877
-0.0434113877405569,-0.0127641828415153,-3.7656922326547098,15.389099815234824
-0.0399093238842464,-0.0133096409059077,-1.8377616947649429,10.44630549145456
-0.0363957271386967,-0.0115581445409534,-2.4024604736626536,10.559636631012529
-0.0330563178424813,-0.009561406252574,-4.0309087566403115,12.928316328585208
-0.0277798902893517,-0.0104510789199487,-1.2036834055293606,6.346369017718855
-0.0255011798647882,-0.0092596022453777,-2.4960280548799667,8.674237501432204
-0.0209289853837356,-0.0073538391651704,-1.985277103434277,6.578781125637952
-0.0162082084317157,-0.0086214428139881,1.0933311550840838,-0.6383840180408984
-0.0125821174989903,-0.0063315473167035,-5.846517454378006,13.44349740812057
-0.0081931036916932,-0.003880041712807,-5.379746112248553,11.741714958894399
-0.00498801393393,-0.0026713808532807,-6.38148716562874,12.96947118917858
-0.0007227598401225,-0.0002084031999037,-5.640543626472251,10.806084362734783
0.0043559198890544,0.0012032747925536,-6.0511068635720555,10.677664045157638
0.0088135034495759,0.0039855540312956,-8.077470007916801,13.854797367225336
0.0114375897542553,0.0073959014275349,-8.972210835592733,14.831275384775722
0.0141063107985929,0.0086548787786775,-9.528630368020828,15.284813158421013
0.0177002718994029,0.0115459728183902,-11.29792041393226,18.2527022056446
0.0198267255400843,0.013782706661182,-9.500814782634972,13.777514214701288
0.0226360274560984,0.0149265755156768,-6.931971723417564,7.358450721841715
0.0255229064415728,0.015837018933428,-7.738255587854585,8.377545226972986
0.0280536044728305,0.0170461952708273,-10.6046181279923,13.845850873838945
0.0303608122450912,0.0207214041318038,-11.533456858705568,15.37236211269554
0.0344174024116541,0.0192098088197575,-6.562979949396303,3.7877314031966702
0.0378874657575084,0.0177030530183984,-4.731604212438032,-0.9323208971162812
0.0401062943196125,0.0161498022177838,-9.509547921137969,8.415877464861342
0.0430111911156044,0.0188613560476181,-12.622167675174936,14.661685066951366
0.0460823606737239,0.0180043078496899,-12.130237092544919,13.289592814266241
