q1_s_est,q2_s_est,dq1_s_est,dq2_s_est,q1_s_true,q2_s_true,dq1_s_true,dq2_s_true,u1_s,u2_s,COP_s
0.0819752710551957,-0.0035350145705306,-0.0050578326072774,0.0057463325305579,0.0873,0.0,0.0,0.0,0.0,0.0,-0.0017379596558382592
0.0965799897506395,0.0037114153010367,0.0115137211634964,-0.0053643365307637,0.0866833112656432,0.0023141562445485,-0.0064249701348954,0.0080419253754442,8.0130633005313,1.7428226009495,-0.0012723845773003136
0.0863397471051275,0.007484989687108,0.0037010060824058,-0.0013101522911231,0.0872342602774312,0.0025834352505378,-0.0127354522924377,0.0097582720427377,9.18210224814151,0.769311265779884,8.318043874182245e-05
0.0833491302673635,0.0013408267286352,-0.0066173747154214,0.0115368475860596,0.0861414189175609,0.0025972551929571,-0.015838055160708,0.001494147583452,11.5415193479434,-4.27399066053842,0.005202661836829884
0.0803496649113542,-0.0009000422381081,-0.0138204806364156,-0.0006898543984959,0.0872601860835071,0.0011244401979875,-0.0219668523914506,-0.0014610149014003,13.8585591630698,-0.153998108635378,0.001889750342826696
0.0787512970298908,-0.0022931537367051,-0.0228947029758737,-0.0033339444467065,0.0876223506145298,0.0010743151365497,-0.0272855031813804,-0.0027802648981859,16.6014463474044,0.687198760153159,0.0016797672329371767
0.0782831446405287,-0.0003516799148961,-0.0251008750538089,-0.006001671124406,0.0889094894063592,0.0020135973038636,-0.0315083118654345,-0.0027957301134215,17.3614786918514,1.82437391789048,0.0008316659868467134
0.0782311492555737,-0.0034077465552792,-0.0276299929143622,-0.0016174491318563,0.0880550508282919,0.0018907196250167,-0.0368009229243871,-0.007454729507889,17.9549020592651,0.0003739427764202,0.002703939474040632
0.0789257376037262,-0.004222863206974,-0.0322048514034848,-0.0039628719272344,0.0895004935584918,0.0005406881080344,-0.0410709059562812,-0.0102556698020943,19.5482099922615,0.762020518347555,0.0021587825311071345
0.0797230992187497,-0.003605391680841,-0.0357823951137248,-0.0062592552511064,0.0888018327071236,-0.0009667679650087,-0.0440642452024369,-0.009647524812642,19.9999999999952,1.44913637113465,0.0014341539926858834
0.0811695345735733,-0.0051149044437422,-0.0422848238244109,-0.0040284727974624,0.0898631875771564,-0.0023353049808454,-0.0472035493959997,-0.0140757980258479,19.999999999971,0.0218733787805405,0.0025998159000408952
0.0812053938096272,-0.0028482012691648,-0.0472168190499831,-0.0107894184109149,0.0879895121693007,-0.0012586817333171,-0.0525614205014325,-0.013319898926447,19.9999999999998,2.16439164967783,0.0007062248804071384
0.080822767143509,-0.0044611725908274,-0.0519269349150087,-0.0080534059590891,0.0879678475625458,-0.0031398168754146,-0.0572158212881137,-0.01587561486428,19.999999999998,0.738087608813117,0.0018684904843951444
0.0837207378554019,-0.003226005961002,-0.0549793110132583,-0.0131803120382458,0.0876050150895194,-0.0031293166671139,-0.0606008835615429,-0.015864952612741,19.9999999999948,2.26834989806191,0.00036943260119449663
0.0826279552152891,-0.002886109309558,-0.0592926396372842,-0.0129079973937308,0.0876424694804809,-0.0041424519774834,-0.0668023912775075,-0.0166631796560142,19.9999999999997,1.91937515374183,0.0005934482931130073
0.0829169352432127,-0.0020695460985944,-0.0643363252690161,-0.0140967814916863,0.0877672358687957,-0.0041389157998382,-0.0727295847953422,-0.015210834197036,20.0,2.00931696711911,0.000500596775495589
0.0827988364822244,-0.0022019908920645,-0.0686870785981254,-0.0141833481383547,0.088028354886043,-0.0030130812552663,-0.0791248052760923,-0.0131179425826756,20.0,1.70144943097427,0.0009471417479140894
0.0830153046320144,-0.0029131117705069,-0.0736265113979168,-0.0119310561430368,0.0872867868657423,-0.0044791370499788,-0.0814406430041826,-0.0156805380094356,19.9999999999999,0.486167015057667,0.0019590037229118337
0.0826432552182236,-0.0036782842863023,-0.0764777214951606,-0.0116210004923912,0.0862802758754521,-0.00539041707382,-0.0857210516524404,-0.0184083813137687,19.9999999999997,0.106220247303973,0.002225157596743616
0.0823334901367666,-0.0033408183379325,-0.0808608173935888,-0.0181922981734039,0.0851158521261566,-0.0058398945123546,-0.0905008074639546,-0.0156883471323646,20.0,2.05638301373597,0.0002831083613832113
0.0817789186770551,-0.0024799009375086,-0.084340785033096,-0.01883081566431,0.0837799840312729,-0.0055723058451072,-0.0945043176935415,-0.013411705017421,19.999999999997,2.11093689940596,0.0002865523115053901
0.0827635021393071,-0.0023200815805657,-0.0911593165923097,-0.0187155340183325,0.0822482934723628,-0.0049551316136453,-0.0986480025183557,-0.0131237516130374,20.0,1.53654480060769,0.0009715567065304411
0.080939894546955,-0.0019537213884344,-0.0939848214749052,-0.0204097995104884,0.0814575431917234,-0.0057626956216315,-0.102426143626398,-0.0131610305739457,20.0,1.9984717210559,0.00041980844186124624
